income,delta,predict,islow
2453.5,326.7662621,2126.73,0
2665.58,-319.9902665,2985.57,1
2710,53.65112641,2656.35,0
2655.06,76.99331501,2578.07,0
2436.67,390.6021432,2046.07,0
2750,-153.7045512,2903.70,0
2637.33,-27.12864366,2664.46,0
2562.5,111.7459823,2450.75,0
2700,-245.1063747,2945.11,1
2705.78,48.31077105,2657.47,0
2633.75,19.52322492,2614.23,0
2423.33,32.30960951,2391.02,0
2403.76,-381.3770996,2785.14,1
2612,207.3925077,2404.61,0
2500,202.4103137,2297.59,0
2600,270.333936,2329.67,0
2504.63,-341.3662001,2846.00,1
2456.67,356.1082473,2100.56,0
2636.25,-249.5098333,2885.76,1
2637.58,-102.5485247,2740.13,0
2542,-85.37083669,2627.37,0
2691,-70.18051855,2761.18,0
2500,46.55458525,2453.45,0
2471.47,-146.0431,2617.51,0
2475,-541.03568,3016.04,1
2611,-261.7543491,2872.75,1
2557.5,499.3748208,2058.13,0
2548.33,400.9532737,2147.38,0
2692.15,-28.50324069,2720.65,0
2593.7,-275.0563055,2868.76,1
2428.64,-297.4431011,2726.08,1
2505,87.56567742,2417.43,0
2401.33,314.1553249,2087.17,0
2500,-240.6636918,2740.66,1
2463.23,152.0108997,2311.22,0
2486.41,251.3819524,2235.03,0
2360.42,25.2701083,2335.15,0
2400,-252.7144317,2652.71,1
2378,343.8010505,2034.20,0
2460,65.29785977,2394.70,0
2504.89,11.97255255,2492.92,0
2700.2,-246.1692232,2946.37,1
2595.91,273.3678233,2322.54,0
2615,269.6195108,2345.38,0
2398.33,476.3431345,1921.99,0
2510,-183.8592374,2693.86,0
2494.1,146.9448245,2347.16,0
2428.67,519.1233557,1909.55,0
2726.27,-364.2865344,3090.56,1
2509.78,-76.38197048,2586.16,0
2516.25,51.33357459,2464.92,0
2380.41,308.0192722,2072.39,0
2451.75,-200.6073419,2652.36,1
2433.47,81.44242272,2352.03,0
2670,147.120424,2522.88,0
2461.04,-358.4362944,2819.48,1
2487,-139.8460696,2626.85,0
2442,54.24699068,2387.75,0
2682.5,-80.89607466,2763.40,0
2720,-62.87613727,2782.88,0
2372.67,-63.87883286,2436.55,0
2425,-155.8041423,2580.80,0
2668,49.78128391,2618.22,0
2666.67,-60.45373066,2727.12,0
2656.1,-85.42335486,2741.52,0
2630.82,161.9296943,2468.89,0
2685,-457.3329452,3142.33,1
2646.75,145.1611822,2501.59,0
2531.33,136.7145513,2394.62,0
2429.17,405.1789324,2023.99,0
2373.33,-4.406610771,2377.74,0
2629.85,452.2792476,2177.57,0
2644.53,-483.9438846,3128.47,1
2459,-184.5298432,2643.53,0
2610,325.2489184,2284.75,0
2615,319.329957,2295.67,0
2426.5,208.8077723,2217.69,0
2439.33,168.4533787,2270.88,0
2370.38,-50.87731206,2421.26,0
2531.8,-390.7779279,2922.58,1
2523.28,-129.6719832,2652.95,0
2600,-163.6888888,2763.69,0
2724.86,454.9097326,2269.95,0
2701.83,116.4468131,2585.38,0
2730,-319.0285163,3049.03,1
2568,236.5080481,2331.49,0
2656,90.14397443,2565.86,0
2551,108.0577915,2442.94,0
2558.96,-83.38102925,2642.34,0
2365.36,22.78370385,2342.58,0
2476.25,182.8718679,2293.38,0
2390,2.923308942,2387.08,0
2479.22,-44.25528574,2523.48,0
2617.06,27.38267588,2589.68,0
2567.4,-3.717844739,2571.12,0
2578.19,326.7016631,2251.49,0
2491.83,-219.5598603,2711.39,1
2546.8,70.20678028,2476.59,0
2406.74,24.32704396,2382.41,0
2694.67,253.1987169,2441.47,0
2513.7,-177.48073,2691.18,0
2668.33,57.64086421,2610.69,0
2360,75.23437013,2284.77,0
2561.38,-95.27263746,2656.65,0
2747.91,134.1202352,2613.79,0
2710,-172.6534207,2882.65,0
2508.75,-220.0061331,2728.76,1
2533.21,59.73355094,2473.48,0
2504.69,-257.8334297,2762.52,1
2667.5,-77.77416283,2745.27,0
2393.46,-245.4873225,2638.95,1
2491.25,-508.2450278,2999.50,1
2421.75,161.9712846,2259.78,0
2632.19,-5.850915263,2638.04,0
2559,-345.7790233,2904.78,1
2703.72,-4.387064072,2708.11,0
2422.33,12.1327591,2410.20,0
2575.25,285.7501764,2289.50,0
2405.1,-352.7221959,2757.82,1
2689.66,-382.60012,3072.26,1
2425.51,290.6887562,2134.82,0
2479.01,31.07868763,2447.93,0
2475,-39.87025103,2514.87,0
2750,-174.6058606,2924.61,0
2566.67,77.61576554,2489.05,0
